1892	1
1915	1
1932	1
1935	2
1938	1
1942	1
1947	1
1949	1
1951	1
1953	1
1954	3
1958	2
1962	1
1966	3
1968	2
1969	2
1971	3
1972	3
1973	4
1974	1
1975	7
1976	4
1977	8
1978	4
1979	6
1980	9
1981	1
1982	10
1983	5
1984	5
1985	5
1986	4
1987	7
1988	7
1989	9
1990	13
1991	12
1992	5
1993	9
1994	14
1995	12
1996	11
1997	21
1998	8
1999	15
2000	17
2001	9
2002	10
2003	6
2004	2
2005	7
2006	14
2007	8
2008	14
2009	15
2010	8
2011	7
2012	4
2013	13
2014	1
